epoch,categorical_accuracy,loss,lr,precision,recall,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.014592934399843216,8.652735710144043,1e-04,0.0,0.0,0.00937500037252903,4.606568336486816,0.0,0.0
1,0.008448541164398193,8.546472549438477,1e-04,0.0,0.0,0.00937500037252903,4.613698482513428,0.0,0.0
2,0.012288786470890045,8.538214683532715,1e-04,0.0,0.0,0.0062500000931322575,4.613082408905029,0.0,0.0
3,0.012288786470890045,8.471268653869629,4e-05,0.1666666716337204,0.0007680491544306278,0.0062500000931322575,4.615259647369385,0.0,0.0
4,0.006144393235445023,8.492751121520996,4e-05,0.0,0.0,0.0062500000931322575,4.613841533660889,0.0,0.0
5,0.006859756074845791,8.455045700073242,1.6e-05,0.0,0.0,0.0062500000931322575,4.613996982574463,0.0,0.0
6,0.012288786470890045,8.47413158416748,1.6e-05,0.0,0.0,0.0062500000931322575,4.613678932189941,0.0,0.0
7,0.012288786470890045,8.462421417236328,6.4e-06,0.0,0.0,0.0062500000931322575,4.613885402679443,0.0,0.0
8,0.009984639473259449,8.39057731628418,6.4e-06,0.0,0.0,0.0062500000931322575,4.615020751953125,0.0,0.0
9,0.012288786470890045,8.380091667175293,2.56e-06,0.0,0.0,0.0062500000931322575,4.6152215003967285,0.0,0.0
